dataset_scale,test_samples,condition,method,relative_l2_mean,centered_correlation_mean,mse_mean
medium,1000,periodic_theta89,c × Fourier baseline,1.063310346186161,0.7725783087119821,0.08312254399061203
medium,1000,periodic_theta89,FNO-only,0.512361614882946,0.8099979094964589,0.021385857835412025
medium,1000,periodic_theta89,Fourier → FNO,0.2731705502420664,0.9499014209704647,0.005712957587093115
medium,1000,periodic_theta89,FNO → Fourier,0.36385607117414476,0.9121417869083086,0.010546216741204262
medium,1000,pml_outside_theta45,c × Fourier baseline,1.0026747179031372,0.8045757022819037,0.036413006484508514
medium,1000,pml_outside_theta45,FNO-only,0.5452887283265591,0.8277066713452997,0.010661741718649864
medium,1000,pml_outside_theta45,Fourier → FNO,0.2669729544222355,0.9609619236337018,0.0023681537713855505
medium,1000,pml_outside_theta45,FNO → Fourier,0.4987779393196106,0.8609908897582311,0.00862798560410738
large,10000,periodic_theta89,c × Fourier baseline,1.0648274035990237,0.7717951431268067,0.08498241007328033
large,10000,periodic_theta89,FNO-only,0.3786841002374888,0.9009211427247797,0.011668931692838669
large,10000,periodic_theta89,Fourier → FNO,0.22422650495395063,0.9660536937873889,0.0038926962297409773
large,10000,periodic_theta89,FNO → Fourier,0.33135161074101926,0.9268125156884222,0.009167753159999847
large,10000,pml_outside_theta45,c × Fourier baseline,1.0067111067891121,0.8030462458858781,0.03681334853172302
large,10000,pml_outside_theta45,FNO-only,0.3764802308872342,0.9216677039252916,0.004943232052028179
large,10000,pml_outside_theta45,Fourier → FNO,0.22088124580979349,0.9732691616654688,0.0016251241322606802
large,10000,pml_outside_theta45,FNO → Fourier,0.4885120204389095,0.866252149086916,0.008275497704744339
