condition,model,train_samples,runs,rel_l2_mean,rel_l2_std_across_seeds
periodic_theta89,FNO-only,1000,3,0.8373165092150371,0.006706086038244194
periodic_theta89,FNO-only,5000,3,0.5114815893813968,0.005880051003317285
periodic_theta89,FNO-only,10000,3,0.36759647126843525,0.010614378306334814
periodic_theta89,FNO-only,25000,3,0.25930072489480177,0.005246690301738115
periodic_theta89,FNO-only,50000,3,0.2199925914876163,0.00418970750591191
periodic_theta89,Fourier-to-FNO,1000,3,0.46212724098662533,0.012818019844738607
periodic_theta89,Fourier-to-FNO,5000,3,0.2765621488039692,0.006092693011204946
periodic_theta89,Fourier-to-FNO,10000,3,0.2152161595592896,0.0021388890474001287
periodic_theta89,Fourier-to-FNO,25000,3,0.16865520788381497,0.0007406072736983804
periodic_theta89,Fourier-to-FNO,50000,3,0.14655429696093003,0.0008762572079153356
periodic_theta89,FNO-to-Fourier,1000,3,0.5558049743046364,0.020938610508183676
periodic_theta89,FNO-to-Fourier,5000,3,0.36034855280468864,0.007606642083994083
periodic_theta89,FNO-to-Fourier,10000,3,0.3279614469399055,0.0008949160186659751
periodic_theta89,FNO-to-Fourier,25000,3,0.31052620556553207,0.00179882540455338
periodic_theta89,FNO-to-Fourier,50000,3,0.2944542039116224,0.0024814794772712446
pml_outside_theta45,FNO-only,1000,3,0.8060225149869918,0.006247443024401427
pml_outside_theta45,FNO-only,5000,3,0.5535394680321216,0.01539087044278614
pml_outside_theta45,FNO-only,10000,3,0.35582225530594586,0.003492806413450199
pml_outside_theta45,FNO-only,25000,3,0.22824457222620645,0.0055988605804372605
pml_outside_theta45,FNO-only,50000,3,0.1844974995151162,0.00381824510336963
pml_outside_theta45,Fourier-to-FNO,1000,3,0.5039081399778526,0.016828332959292452
pml_outside_theta45,Fourier-to-FNO,5000,3,0.2731291146079699,0.006925882346968145
pml_outside_theta45,Fourier-to-FNO,10000,3,0.21982091454615196,0.007273955526998762
pml_outside_theta45,Fourier-to-FNO,25000,3,0.1707597395909329,0.0041682468638593664
pml_outside_theta45,Fourier-to-FNO,50000,3,0.14541282096530003,0.003101705447768142
pml_outside_theta45,FNO-to-Fourier,1000,3,0.6800662301530441,0.025671210890874933
pml_outside_theta45,FNO-to-Fourier,5000,3,0.49870702345569934,0.0009786522453295603
pml_outside_theta45,FNO-to-Fourier,10000,3,0.4852679625332355,0.0005654007595586747
pml_outside_theta45,FNO-to-Fourier,25000,3,0.48046030453145505,4.236023772689354e-05
pml_outside_theta45,FNO-to-Fourier,50000,3,0.4791936584899823,6.637117724566804e-05
