condition,keep_fraction,seed,method,num_samples,relative_l2_mean,relative_l2_ci95_low,relative_l2_ci95_high,correlation_mean,correlation_ci95_low,correlation_ci95_high,mse_mean,mse_ci95_low,mse_ci95_high
periodic_theta89,0.1,20260802,Fourier inverse,1000,0.953767316699028,0.9530459152400493,0.9544478430017829,0.3035734562760326,0.300360426670199,0.3068299181050358,0.09255005454024404,0.090459066903532,0.09474888220994275
periodic_theta89,0.1,20260802,Time reversal,1000,0.9242362731099129,0.9231846318557859,0.9253452395603061,0.44220713655895183,0.43809738295176825,0.44625947417333334,0.08663116624051181,0.08471990889097065,0.08851393027249567
periodic_theta89,0.1,20260802,Iterated time reversal,1000,0.8233410784602165,0.8206119452387094,0.825993041396141,0.4950159665496648,0.4907749274117451,0.4995650790144023,0.06781349198716853,0.06641809256194163,0.06920943920411458
periodic_theta89,0.1,20260802,Gradient descent (1/L),1000,0.7367946350574494,0.7338513805463911,0.7396705493792892,0.6339808879118534,0.6303913568101704,0.6375172788878449,0.05441268094662649,0.053329844999913195,0.055563786955490815
periodic_theta89,0.1,20260802,FNO-only,1000,1.2502125436663627,1.2361272281840443,1.264947750389576,0.40708206740157465,0.3993562137600529,0.41391253547945644,0.14787374158028976,0.1455024608598765,0.1501457494386711
periodic_theta89,0.1,20260802,Fourier-to-FNO,1000,0.8615916473269463,0.8553642687395215,0.8684147490456701,0.5362782908459954,0.5311240687965214,0.5414240606315246,0.07069584616192616,0.06987414147506092,0.07154512871011785
periodic_theta89,0.1,20260802,FNO-to-Fourier,1000,0.8583790983557701,0.8558511509314178,0.86098105083704,0.3927966326310457,0.3888863238745197,0.39622009140462167,0.07387011514626422,0.07232133749319677,0.07544400041417189
pml_outside_theta45,0.1,20260802,Fourier inverse,1000,0.9810680640935898,0.9806320002138614,0.9814936250314117,0.2343185694832082,0.230317442610212,0.23834227718247106,0.09819990216877679,0.09598026553854791,0.10035016018848525
pml_outside_theta45,0.1,20260802,Time reversal,1000,0.9613147387504578,0.9606326074182987,0.961977512678504,0.4123137092972618,0.40764409009516284,0.4169229075219586,0.09410961243830047,0.09190139452410864,0.09632166305736856
pml_outside_theta45,0.1,20260802,Iterated time reversal,1000,0.8553091735243797,0.8526759702160954,0.8580588223487139,0.4505671325986641,0.44526480390811757,0.4556512584198229,0.07335745080261123,0.07187339048127746,0.07497327366843556
pml_outside_theta45,0.1,20260802,Gradient descent (1/L),1000,0.8098404133915901,0.8067946291133762,0.8127159451454878,0.5261185249604116,0.5211081743921503,0.5310318523103275,0.06536196651738164,0.06394824852606078,0.06672169990412284
